Yes! To Affordable Groceries ,5049903
Eastern State Penitentiary,0
END THE NRA. NOT AUTHORIZED BY ANY CANDIDATE OR COMMITTEE. ,0
E2 (Environmental Entrepreneurs),0
E. Brian Rose,0
Dr. Linda Jack, Democrat, for Florida House District 36.,0
Dontchaknow,0
Donald J. Trump for President, Inc,0
Don Dashiell,0
DodsonSims,0
Devoted,0
Deck of Deplorables,0
Deborah Gonzalez for GA,0
Darius Brown For State Senate,0
Dane Eagle for State Representative. ,0
Dan Kohl for Congress,0
DalloTek,0
Dale Coco MD EID Irrigation Board of Directors (ID# 1400444),0
DAN KOHL FOR CONGRESS,0
Curds,0
Crypton Labs Inc.,0
Courage Campaign,0
Council for Responsible Nutrition,0
Cort Vanostran for Congress,0
Corrigan for Executive, Peter Corrigan Treasurer.,0
Conservatives for Toma,0
Conor Bentley,0
Community Alliance for Global Justice,0
Committee to Elect Rhya Marohn, Connie Bowling, Treasurer,0
Committee to Elect Michelle Foreman,0
Committee to Elect Jimmy Leo Richardson Shaina Blair Richardson, Treasurer,0
Committee to Elect Jamie Schoolcraft,0
Committee to Elect Donna Cathy Judge,0
Committee To Elect Victoria McKay Kennison,0
Committee To Elect Eric Biggar,0
Collier for Lt. Governor ,0
Climate Conservatives,0
Cliff Groh for State House,0
Clark County Republican Women,0
Clare Collard,0
Citizens for Yassenoff,0
Citizens for Martin T. Tully,0
Citizens for Ben Carmitchel. Authorized by Ben Carmitchel,0
Cindy Axne for Congress,0
Chuck Brannan, Republican for State Representative.,0
Christian Democrats of America,0
Chrissy Houlahan for Congress,0
Chris Elliot for State Senate,0
Cardozo School of Law,0
CTE Hilary Dubay,0
CMMB-Healthier Lives Worldwide,0
CCC Services ,0
By Authority: Maryland House Democratic Caucus Committee; Gail E. Smith, Treasurer. ,0
Burke Adams for LACCD Board 2020,0
Build CT,0
Brut,0
Brock Obama for President Committee,0
Brian Harrington for Laramie City Council,0
Brenda For Vermont,0
Brave Path Media LLC,0
Bottlepops USA,0
Born Red,0
Blue Lives Matter,0
Blue Action Democrats-SW Austin,0
Big Horn County, P.O Box 908, Hardin, MT 59034,0
Big Bridge,0
Benton Country Democratic Central Committee,0
Becket Law,0
Beau for Congress,0
Bearing Arms,0
Barve for Maryland,0
Association for Accessible Medicines,0
Aspiration,0
Aric Chen 曉天,0
Angry Buckeyes,0
Andrew Cuomo for Governor,0
Amy Pennock for Seminole County School Board,0
American Jewish World Service,0
American Freedom Fan Page,0
American Clothing Co.,0
American Chemistry Council,0
Alyse for Alaska,0
Alliance for a Better Minnesota,0
Alexander Street, a ProQuest Company,0
Alec Mento,0
Alec J Rappleyea,0
Alaskans for Dunleavy,0
Aghogho Edevbie for Progress, P.O. Box 442506, Detroit, MI 48244,0
Advance California,0
Addicted to Golf,0
Adam Smith for Congress,0
ALLIANCE OF AUTOMOBILE MANUFACTURERS,0
A Whole Lot Of People For Grijalva Congressional Committee,0
350 Spokane,0
1 Mission,0
#VoteTogether | A project of Civic Nation,0
 V. Manuel "Manny" Perez for County Supervisor (FPPC#1396909),0
 Portland Children's Levy,0
