,16192690
Friends of Leonard Narumi for School Board 2018 ID #1408888,2000
Friends of Bremeau FPPC# 1406063,2000
Fresh Air Vallejo,2000
Frank Barragan for San Benito Health Care District 2018,2000
Fairfield for Chuck Timm, 2018 | FPPC ID# 1296258,2000
Escaping the Jaws of Life,2000
Equal Rights Advocates,2000
Elizabeth Warren for Assembly, FPPC Committee #1395294,2000
East Bay Democratic Socialists of America Electoral Committee,2000
East Bay Democratic Socialists of America,2000
Doutherd for School Board 2018 - FPPC #1404085,2000
Doug Hassett for Congress 2018,2000
Dina Pielaet for VCCCD Trustee 2018 FPPC#1407106,2000
David Ross For Moorpark City Council 2018 ID: 1406989,2000
Dan Dillman For San Leandro Mayor 2018,2000
Custis Law, P.C.,2000
Conservative Republicans of San Joaquin County,2000
Community for Placer High School – Yes on G. FPPC# 1408593.,2000
Committee to Elect Tom Reusser Sutter Co. Superintendent of Schools, 2018  ID# 1400427,2000
Committee to Elect Maureen Toms to Pinole City Council - 2018    FPPC #1409274,2000
Committee to Elect Jeff Bowman for Mission Springs Water District Director ID# 1409575,2000
Committee for Excellent High Schools. FPPC# 1406113.,2000
Citizens for Greater Linden Schools,2000
Chip Monaco for City Council,2000
Chino Officers For Political Stability | FPPC ID#951707,2000
Casa Dana Group, Inc.,2000
Campbell High School Teachers Association,2000
California Reinvestment Coalition,2000
CCSA Advocates ,2000
CCHO Action,2000
CAIR - Greater Los Angeles,2000
CA25 United for Progress,2000
Brett Watson for Arcata City Council 2018,2000
Brett Haddock for Santa Clarita City Council 2018,2000
Blake Perez for Brea City Council FPPC ID 1408124,2000
BPC Action,2000
Andy Cadena for SLO County Superior Court Judge 2018 FPPC#1403490,2000
Andrew Pollard for IRWD Board 2018,2000
American Totem,2000
America's Future Foundation,2000
Amer Hammudi,2000
Alex Brown for Chico City Council 2018,2000
Alejandro Chavez,2000
A Veronica Sauceda for Judge 2018, FPPC # 1402953,2000
Burbank Housing Corporation,1999
David Clifford for Congress #C00663013,1998
the California Sportfishing League,1997
Tim Nader for Judge 2018 FPPC #1399061,1990
Penzeys,1979
JVMI,1973
Justice Democrats, not authorized by any candidate or candidate's committee.,1964
the Foundation for Constitutional Government,1917
Inequality Media,1901
Anera,1878
Polivy for Town Council 2018,1864
Proud Americans Supply,1854
Clarion Project,1805
Joe Cunningham for Congress,1795
Kerri Evelyn Harris for Delaware,1778
Right Wing News ,1767
U.S. National Committee for UN Women,1752
The Brookings Institution,1725
Human Coalition,1712
the Progressive Change Campaign Committee PAC (BoldProgressives.org) and not authorized by any candidate or candidate's committee. Contributions to the PCCC are not deductible as charitable contributions for federal income tax purposes.,1709
Hope4Orcas,1697
Warrior 12,1685
the White Coat Waste Project, Inc,1679
Patriotic Drop Shop,1648
Kaniela Ing for Congress,1621
Donald Trump Dog Poop Bags,1614
Jim Francis for Congress,1608
Philip Levine, Democrat, for Governor,1600
Newsy,1590
House of Patriots,1588
NY Times Bestselling Author Andrew Shaffer,1552
Abortion On Our Own Terms,1522
PIVOT - The Progressive Vietnamese American Organization,1515
The Dude's Designs,1509
The Committee for Ranked Choice Voting,1471
USA Homeowner Help,1470
EMILY's List,1468
Be a Hero PAC,1466
Republicans for the Rule of Law,1452
Paid for by National Health Law Program,1449
Animal Matters,1438
Bill O'Reilly Staff,1436
Omar Navarro for Congress,1423
Nine Line Apparel,1379
NIAC Action ,1371
The Gaia Project for Women's Leadership,1356
Political advertisement, paid for and approved by Joe Gruters, Republican for Florida State Senate, District 23,1352
the DSCC,1327
Kimberly Ellis,1325
Restoration PAC,1315
Michigan Republican Party Not authorized by any candidate or candidates committee. 520 Seymour Ave. Lansing, MI 48933,1313
I Am CA 22,1307
Energy Citizens,1298
theSkimm,1277
WCS,1274
OAF Nation, Inc,1268
Burke-Paine Society,1247
Dodson for Senate – Wyoming First,1239
mitú, Inc.,1220
Delivered Digital Marketing,1199
Civics Nation, Inc.,1193
Protect The Harvest,1179
Brian Hill,1175
Your Trump Shop,1174
the Florida Democratic Party. Not authorized by any candidate or candidate's committee.,1167
Outrider Foundation,1165
Wyoming Hunters and Anglers Alliance 501 (c) (4),1163
Dr. Kim Schrier for Congress,1155
Air Line Pilots Association, International,1152
Media Research Center,1144
Momus LLC dba Deck of Deplorables,1136
Bredesen for Senate,1135
WhyHunger,1130
Link TV ,1122
Save the Children US,1100
Doug Jones for Senate Committee,1096
Janet Garrett for Congress,1093
Association of Young Americans,1091
Recirculating Farms Coalition,1079
CHC BOLD PAC,1069
The People's Trumpet LLC,1068
LGBTQ Victory Fund ,1062
Donnelly for Indiana,1061
Let Africa Live,1060
the Committee to Elect Heidi Howe for Sheriff,1051
Smart Customer,1044
Patriot Depot,1043
Friends for Steve Sisolak,1031
Working America,1025
the Foundation for Independent Voter Education,1023
GZERO Media,1022
Greater Half,1021
#VoteTogether | A project of Civic Nation,1011
Sinema for Arizona,1009
the curators of McClintock Watch - not affiliated with any political campaign or organization.,1000
the Progressive Student Association (Our Revolution),1000
the Oakland Fund for Measure AA,1000
the Los Angeles County Regional Park and Open Space District,1000
the Heinrich-Böll-Stiftung North America,1000
the Democratic Central Committee of Shasta County and not authorized by any candidate or candidate's committee.,1000
the California Paramedic Foundation,1000
the Butte County Republican Party,1000
Yuba Sutter Constitutional Republicans,1000
Yes on G, Residents for Excellent Schools. FPPC# 1407642.,1000
Yes On Measure E for RVSD Committee,1000
Women for American Values and Ethics (WAVE),1000
Women Democrats of Sacramento County,1000
Vote Blue OC,1000
Vote Bellomo for Santa Monica City Council,1000
Ty Alper for School Board,1000
Thomas Krouse For Assembly 2018 FPPC ID #1402129,1000
The Veterans Democratic Club of San Diego County,1000
The NEA Fund,1000
The Miller Law Firm,1000
The Kinsey Sicks,1000
The Fight Magazine,1000
The Committee to Elect Kim Cousins,1000
The Committee of Teresa Kinney for City Council 2018,1000
The Anne McKereghan for School Board 2018 Campaign FPPC 1382672,1000
Tax Foundation,1000
Syda Cogliati for Santa Cruz County Superior Judge 2018 FPPC #1401247,1000
Sullivan For City Council 2018,1000
Streetsblog Los Angeles,1000
Strategic Concepts in Organizing and Policy Education,1000
Spencer Noren for Ventura City Council District #4, 2018,1000
South Peninsula Area Republican Coalition,1000
Somos Familia Valle,1000
Shelly Scott for Assessor Recorder Clerk 2018,1000
Shawn Gordon,1000
Shareable,1000
Sara McDowell for San Carlos City Council 2018 FPPC #1403446,1000
Santa Barbara County Republican Party,1000
Santa Ana Police Officers Association Independent Expenditure Committe  FPPC #1255606. This advertisement was not authorized by a candidate or a committee by a candidate. ,1000
San Mateo County Democratic Central Committee ,1000
San Jose Hope Village,1000
Sam Parcher for Cameron Park CSD,1000
Sally Moreno for Madera DA 2018,1000
Ryan Toussaint for Solvang Mayor,1000
Ross van Dongen,1000
Robert Conklin for City Council 2018,1000
Riverside Republican Assembly,1000
Rita Topalian for Senate Special Election 2018 FPPC:  #1405928,1000
Resistance Boot Camp,1000
Realty World Castlerock,1000
Re-Elect Nicole Phillis for Rent Control Board 2018 - ID# 1410928,1000
Ramos for City Council 2018 FPPC ID 1406424,1000
RTBiQ,1000
Providence Strategic Consulting, Inc. ,1000
Pro-Choice Kern County,1000
Prevention Institute,1000
Pocekay for Council 2018,1000
Placer County Young Republicans,1000
Placer County Democratic Party,1000
Piper Smith,1000
Performance Media Marketing, Inc,1000
People who care about making the world a better place,1000
Patrick O'Mahony,1000
Patiño for City Council 2018,1000
Pamela Price for Oakland Mayor 2018,1000
Pajaro Valley Cesar Chavez Club,1000
Paid For By: Mothers for a Safer LA County,1000
Pacific Legal Foundation,1000
OurStates,1000
Oceanside SOAR,1000
Novato Stands United PAC ID#1401131,1000
Nadine Scott,1000
Murray for Council 2018,1000
Mun Larimer,1000
Monique Limon for Assembly,1000
MomsRising Together,1000
Modern Hiker, LLC, an outdoor media company founded in 2006 and based in Los Angeles,1000
Mission Viejo Reporter,1000
Mirror Media Group ,1000
Mike Ziegenmeyer for Supervisor District 3,1000
Michael Stern,1000
Michael Shanahan,1000
Matt Taylor for Yolo County Board of Education,1000
Martha Guerrero for City Council FPPC ID#1401038,1000
Mark Thiel for Superior Court Judge,1000
Logan Sisco for Turlock City Council 2018 FPPC ID: 1406508,1000
Lillian Raffel,1000
Legal Aid at Work,1000
Lee Uber for City Council 2018 - FPPC #1406115,1000
League of Women Voters of SJC,1000
Lamar Thorpe for Antioch City Council,1000
Ladera Rancho Chamber of Commerce,1000
LA County Residents United to Re-Elect Sheriff Jim McDonnell 2018,1000
Kehoe for Shasta Co Supervisor 2018 ID #1401054,1000
Karen Spiegel for Supervisor,1000
Karen Bass for Congress,1000
Justin Wise,1000
Joyce for School Board 2018,1000
Joseph Ledoux for Pleasanton,1000
Joe Schaffer ,1000
Jewish Community Relations Council of San Francisco, the Peninsula, Marin, Sonoma, Alameda and Contra Costa Counties,1000
Jennifer T Wood Sacramento Chapter Citizens' Climate Lobby,1000
Jeff Hewitt Candidate for Riverside County Supervisor. Campaign ID 1398057. ,1000
Izquierda Punto Info,1000
Island Press,1000
Ignite Change,1000
Harper for City Council 2018 ID 1402975,1000
Hamilton for City Council 2018 FPPC #1407644,1000
Gordon Machado for Mayor,1000
Gloria Negrete McLeod #1407725,1000
Global Citizen,1000
Fuel Freedom Foundation,1000
Friends of the Inyo,1000
Friends of Stan Sniff 2018,1000
Friends of DeniAntionette Mazingo, Esq. for California AD 42 • FPPC #1400905,1000
Fresno Republican Women,1000
Free To Choose Network,1000
Frank Barragan for San Benito Health Care District 2,1000
Frank Barragan for San Benito Health Care Board Member 2018,1000
Follow the Facts,1000
Flip It Blue,1000
Fairchild for School Board 2018,1000
Fahria Khan for Fremont School Board 2018,1000
FORTHE Media,1000
Eric Negrete for CIty Council 2018,1000
Eleni Kounalakis for Lieutenant Governor 2018,1000
Educate Vallejo ,1000
EFB Advocacy,1000
Doutherd for School Board 2018,1000
Don Kendrick Mayor of La Verne,1000
Dianne Martinez for City Council 2018, FPPC: #1366707 & Scott Donahue for Emeryville City Council 2018, FPPC#:1366849,1000
Democratic Party of Santa Barbara,1000
Deborah Meyers-Morris 4VUSD4,1000
David LaRue,1000
David Cohen for Berryessa School Board 2018,1000
Cullen Tiernan for Fremont City Council 2018,1000
Concerned Citizen David Townsend,1000
Community for Del Oro High School – Yes on D. FPPC# 1408595.,1000
Community Associations Institute ,1000
Committee to Elect Tom Reusser - Sutter Co.Superintendent of Schools, 2018   FPPC# 1400427,1000
Committee to Elect Ray Macareno,1000
Committee to Elect Joseph Morabito to Wildomar City Council,1000
Committee to Elect Amanda Hernandez to Apple Valley Town Council 2018 #1409403,1000
Citizens Against Lawsuit Abuse,1000
Christian Ramirez for San Diego City Council 2018,1000
Cherrier for School Board,1000
Catherine Gilbert,1000
Capo Kids First,1000
California Senate Republican Caucus,1000
California Policy Center,1000
California League of Conservation Voters,1000
Butte County Democratic Central Committee,1000
Burke Adams for LACCD Board 2020,1000
Brigade,1000
Brian Dennert for Park Board 2018,1000
Bobby for Congress.  FEC Committee ID: C00649533,1000
Bert Manuel for Supervisor 2018,1000
Barry Chertov,1000
Bahmanou 2018 #1407940,1000
Aurelio Mattucci of Torrance,1000
Assemblyman Jay Obernolte,1000
April Northrup for BRSSD Board of Trustees,1000
Angie Jimenez For Montebello City Council 2018  ID #1409768,1000
Angie Cano for School Board 2018,1000
Andy Vasquez for Supervisor 2018,1000
Amrit Kohli,1000
Alyssa Silhi for Lincoln City Council 2018,1000
Alvarez for School Board FPPC ID #1398737,1000
All-Options,1000
Alameda Firefighters Association PAC, Local 689,1000
Ahora Marketing,1000
AJ Valenzuela for Community College Board Area 1 2018 FPPC ID# 1406842,1000
 Friends of Jack Duran for Supervisor 2018,1000
Paramount Communications,999
Friends of Allan Hancock College - Yes on Measure Y  ID#1408179.,999
Connie C Guerrero,999
Steve DeBrum for Manteca Mayor,998
Solar Rebates,993
MHAction,991
Friends of Jan Schneider,981
Citizens For Harry He Assembly 2018,979
The Foundation for Constitutional Government,974
Carla J Neal for Assembly 2018 FPPC # 1400791,971
Sharon Quirk-Silva,954
VICELAND,951
National Review Institute,945
Capital Research Center,942
Carbonated TV,940
Military Officers Association of America (MOAA),926
Committee to Elect Darryl Morin,919
Kialo,916
Salazar for State Senate,915
Daryl Boling,908
Tax March,907
SFT2 Tactical Supply,902
Thrasher Coffee,894
Emerge America,892
No Plan, No Accountability, No on Prop C,876
The Heritage Foundation ,859
 Great Lakes Education Project,844
The Innocence Project,837
Arizona Democratic Party. Not authorized by any candidate or candidate's committee.,835
Stacey Abrams for Governor,820
Paid for by Public Safety for a Safer Santa Clara Supporting Hirokawa for Sheriff 2018, sponsored by the Deputy Sheriffs’ Association of Santa Clara County. Not authorized by a candidate or a committee controlled by a candidate. Committee major funding from Deputy Sheriffs’ Association of Santa Clara County.,815
Dough,815
The Leadership Conference on Civil and Human Rights ,811
Abortion Clinics OnLine LLC,806
DisabilityOver50,797
Pigeon Media USA,786
Topic,781
St. Martin's Press,778
National Partnership for Women & Families,772
Deb Fischer for U.S. Senate,763
Presidential Collectibles LLC,754
HIAS,748
Anthony Bonna, Republican, for St. Lucie County Commission - District 2,732
Lisa Godzich for House,730
Adrienne Bell 2018,730
Care2,727
Americans for Prosperity,719
A Place at the Table,717
Semi-Automatic Gun Owners of America,712
Rustic Edge Marketing,710
Becket Law,708
Moms Clean Air Force,707
Florida Strong Action PAC independently of any candidate.,704
Emily Martz for Congress,692
Peter G. Peterson Foundation,691
David Koch,689
Palmer Media, LLC,688
Indivisible Project,684
The Brady Campaign,681
State Policy Network,678
Zya, Inc. ,677
Norm Novitsky,672
Shout Your Abortion,666
National Audubon Society,660
Sean Carrigan for Congress,659
Healthy Living Initiative ,658
Wendy Rogers for Congress,656
Arthur Winter,651
Conservative Investor Daily,650
The Urbina Law Firm, LLC,648
Cagin Campaign Committee,644
Morning in Nevada PAC,642
Military History Working Group at the Hoover Institution,640
Bird + Stone ,639
Indivisible Action FL,632
Unite Colorado Election Fund,631
ERIC BRAKEY FOR U.S. SENATE,616
Matt Rinaldi Campaign,604
G-Net Strategic Communications,602
Cynthia for New York.,597
Covenant House International,597
Helm for Wyoming,577
Painter Minnesota,576
New American Media Group,565
The American Friends Service Committee (AFSC),564
The Libertarian Coalition,557
International Association of Sheet Metal Air Rail and Transportation Workers,557
Bill Nelson for U.S. Senate,554
Patty Murray for Senate,551
Philadelphians for a Fair Future,547
Top Conservative Network,545
RedefinED,543
Rep. Kevin McCarthy,527
Hornet,526
Naturally Fit Inc,518
Utah Diné Bikéyah,514
Turner Swag,514
Texans for Natural Gas,511
Defending Donald,510
Jay Ruderman,506
Concerned Citizens Of America,503
Rock Steady Ecommerce,502
Scott Taylor for US Congress,500
AEF Media, LLC,491
Migrant Clinicians Network,489
Aveni for Judge, Don McTigue Treasurer,489
All Out,488
Kristina Daley Roegner for Ohio,487
the Democratic National Committee,484
LeadingResponse,479
AGayIndependent,471
The Logical Liberal,470
The Committee to Elect LeSean Tarkington Kansas State Representative Coenell Hill, Treasurer ,469
Mathew D. Blanchfield,464
USA for UNHCR,462
American Center for Law and Justice,460
Migliaccio & Rathod LLP,458
Fair Pay - Levin,457
Morrisey for Senate, Inc.,456
Logically Illiberal,456
the Democratic Party of Illinois,449
Better Medicare Alliance,445
The Arena PAC,444
UsAgainstAlzheimer's,442
Trifecta Shirts,442
Sullo & Sullo Attorneys at Law,438
Sinclair Broadcast Group,438
Plan International USA,433
Matt Brown for Governor,427
Tom Wolf for Governor,421
Doron Levin,396
James Thompson for Kansas,388
The Palestine Institute for Public Diplomacy,387
National Association of Manufacturers,386
Summer T-Shirts,382
One Nation,380
Republican State Leadership Committee,378
Hillsdale College,378
Ken Meyering,370
Healthy Montana, Dr. Steven Bailey, Treasurer, PO Box 1614, Helena, MT 59624,368
Charles Fox,366
Nyob Zoo Milwaukee TV,360
FRIENDS OF RENEE HOAGENSON,360
Kling for Texas ,357
Golden Gate University School of Law,352
Spotify,348
Sarah Smith for US Congress 2018,339
GREAT TRUTHS LLC,329
Equilibrium Management, LLC,320
Wind Energy Foundation,317
Sunlight Arizona, a program of the One Arizona, a non-profit 501(c)3 organization,315
InVidMe ,313
The Gold Standard with Alan Mosley,308
Common Ground Committee,307
I Love My Freedom,305
2A4LIFE LLC,303
Judd Matheny for Congress,301
Stop Truckee River Flooding Coalition,294
Tee Shirt Palace,293
Baria for Mississippi,287
Massoumi Web Holdings LLC,280
the National League of Cities,278
Chuck Efstration for State House,278
New American Media Group LLC,272
Georgetown Law,272
Sharice for Congress,271
Rob Richardson for Ohio Treasurer,268
 Strong Public Schools Nevada,266
No Labels. Not Authorized by Any Candidate or Candidate Committee.,264
Voters Not Politicians | PO Box 8362 Grand Rapids, MI 49518,262
Caudill for Nevada,255
CitizenFourMillion LLC,253
Scott Parietti,251
Julio Gonzalez for Congress,250
Blue Wave Voters,250
Americans for Farmers and Families,250
the Wisconsin Alliance for Women's Health,248
Amber Briggle,242
UNITE HERE Local 25,241
Committee to Elect Scott Cepicky- Treasurer Beverly Simmons,240
Prompt Media,238
Vericool Inc,236
National Park Foundation,236
IDG Action,235
G.I. Jobs Magazine,234
Lebowski Lovers,229
Senate Leadership Fund,227
Andy Kim for Congress,227
Climate One,226
the Friends of Jess King,224
Cynthia Tiddly,224
Jason Rittereiser for Congress,221
No one - my personal opinons,218
Cort Vanostran for Congress,217
Riggs for Arizona,216
Nonpartisan Reno Elections,213
Progressives For Immigration Reform,212
Parks Project,211
Chad Benson,211
Greenberg for State Senate. Kelly P Ricciardi Treasurer. Approved by Adam D Greenberg.,209
Tony Dale,207
South King County Deserves Better,201
Re-elect Senator Logan, Ron Swatt Treasurer. Approved by George Logan.,201
Institute for Southern Studies,201
Friends of the Earth,201
America's Navy,201
Forward Thinking Media, LLC,198
McLeod-Skinner for Oregon,194
Kate Brophy McGee AZ - Senate,193
Anita For Arizona ,193
The Atlas Society,191
No Cuts to Care,191
Mi Familia Vota Education Fund,189
Raintree Media Group,188
CARE,188
Mark A Medina Sr. for President TWU LOCAL 577,186
and authorized by Janet Mills for Governor.,185
Know Colorado,185
Creative Action Network,185
Purpose Campaigns,183
Mussab Ali for JCBOE,182
Committee to Elect Richard Ojeda,182
Alyse for Alaska,182
Americans for Prosperity Foundation,181
Friends of Dan Kildee,180
by GroundUp. Not authorized by any campaign, committee, or PAC.,177
MAGApreneur, INC.,177
South Florida's Future independently of any candidate.,173
Friends of Danielle Ford,172
Ray Chiaramonte, Democrat, Hillsborough County Commission, District 7,171
Martin Heinrich for Senate,171
E.O. Wilson Biodiversity Foundation,171
Ixnay PAC. Not authorized by any candidate, or candidate's committee. ,170
Lark Lo,169
Committee to Elect Amaad Rivera,167
New York Working Families Party,166
Ron DeSantis, Republican, for Governor. ,162
Committee to Elect Shari Africk-Olefson For Circuit Court Judge ,162
Educate Our Kids, We Are Grinnell.,160
Friends of John Berrey,159
Committee to Keep Judge Gentry,158
The New MAGA,157
McShane LLC,157
Teamsters Joint Council 10,155
PACRONYM. Not authorized by any candidate or candidate’s committee,155
The Tilted Glass,152
PI Yoga Pants,152
Online Carry Course,152
Florida Jobs PAC,152
Bill Schuette for Governor,152
Friends of the Cloquet Valley State Forest,151
Andrew Cuomo for Governor,150
the Committee to Elect Kate Campanale,149
CREDO Mobile,146
Nick Lampson For County Judge Campaign,144
OpsLens. ,142
Bob Casey for Senate,141
Kanew For Congress,139
Jerome Moon for State House,138
The Vegan Vibe,137
Harris for Arizona Senate.  Authorized by Michelle Harris.,136
Working Assets Funding Service, Inc. on behalf of itself and its affiliate, CREDO Mobile, Inc.,135
The Fighting Forces,133
Progress Virginia,133
Ken Harbaugh for Congress,132
the Committee to Elect Rachael Rollins,131
Main Street Investors Coalition,130
Veteran Loan Benefits,128
Nate McMurray for Congress,127
Christina Kaleiwahea,127
Nelson for Texas,126
Citizens for Lt.Col. Marc King LD15,125
Doug Chin for Hawai‘i.,124
Civic Action Network,124
Nasty Scientist,123
Javier Enriquez, Republican, for State Representative,122
the ImpeachMint Project,121
Delgado for Congress,120
Marybel Reinoso Coleman for Circuit Court Judge, Group 18,119
Families For Trump,118
World of Children,117
Anthem Foundation,117
the Democratic Legislative Campaign Committee,116
Steve Huffman for Ohio, John Stickel, Treasurer, PO Box 739, Troy, Ohio 45372,116
The Libertee Company,114
Manufactured Housing Institute,114
Ignatian Solidarity Network,113
Bearing Arms,113
Shelia Stubbs for State Assembly,112
Friends of Joe Howell 2018,112
The Secular Coalition for America,111
Bill Holt's Dreamies®,111
Florida Policy Institute,110
Clergy for a New Drug Policy,110
Sarasota Citizen Martin Hyde,109
OuterGoods LLC,109
People's World,106
Vera Institute of Justice (501c3),105
Liberty Alerts,104
Idaho Conservation League,104
David Richardson for Congress,104
Water Lifestyle Co.,103
Wilkow!,102
The Committee For Ranked Choice Voting,101
CMMB-Healthier Lives Worldwide,101
National Committee to Preserve Social Security & Medicare,100
Democratic Party of Washoe County,100
Brian McClendon for Kansas Committee,100
People for Patty Murray,98
Danny L. Bryant,98
Promote Oregon Leadership PAC,97
Gathering Together,97
Facing History and Ourselves,97
American Immigration Control Foundation,97
the Committee to Elect Ayanna Pressley,94
John Haste for State Senate 2018,94
Forward Not Back. Not authorized by any candidate or candidate's committee. http://www.forwardnotback.org,93
Democratic Action.,93
American Bird Conservancy,93
2atees1,93
Friends of J.D. Merrill, Josh K. Russakis, Treasurer. ,92
Friends of Clint Koble,91
Council for a Livable World,88
The Halfway Post,87
PATE FOR IOWA,87
Derek Kitchen for Senate 2,87
Players Coalition,86
Frantz for State Senate. Robert J. Oca, Treasurer. Approved by Scott Frantz.,85
LifeDaily,84
Premiere Marketing,82
BlackPAC and not authorized by any candidate or candidate’s committee.,81
NatureServe,80
Trade for America,79
Let America Vote,79
Elect Sandra Hollins,79
Christian Democrats of America,79
TheBlaze,78
The Story Exchange, a nonprofit independent news organization that covers female leadership and entrepreneurship. We are nonpartisan and subscribe to the highest journalistic standards. We do not endorse political candidates or positions. ,78
Young Federalists,77
Pierson McNichols, PLLC,76
Nissi Worldwide,76
Elect Michelle Blum Atkinson,76
The Rutherford Institute,73
News Procession,73
Grabien,73
Colin Delany,73
Beesponsible,73
Roberts for Congress,72
Elissa Slotkin for Congress,72
Conservative Consulates,71
Committee to Elect Kennedy Prosecutor,71
the Ford Foundation ,70
Falkiner for Trustee Committee,70
Our Schools Now,68
JD and Kate Industries,68
HowStuffWorks,68
Svaty for Kansas, Shirley Jacques, Treasurer,67
My Kat's Whiskers,67
Michigan Leadership Committee. Not authorized by any candidate.,67
Diane Lewis for Utah House,67
Marsy’s Law for Wisconsin, LLC,66
Faith Johnson for DA,66
Emerson College Polling,66
Woodard for Kansas. Shabina Kavimandan, Treasurer.,65
Conservative Daily,65
Austin Petersen for US Senate,65
Mad Dog Political Action Committee,64
Kim David for Senate 2018,64
Washington State Democratic Party,63
Todd Litton for Congress,63
The Meanest Woman Alive LLC,63
The American Vision,62
Rebuild Maine PAC,62
Kilili for Congress,62
Energy Nation,62
Ed Emmett Campaign, Tom Kennedy, Treasurer 2726 Bissonnet, Suite 240-144 Houston, TX 77005,62
The Iranian,61
Scott D. Welch,60
Bruce J. Berger,60
The Cato Institute,59
JoyAnn Ruscha for RTD B,59
Bullsugar,59
This is property of Cambodia-America Alliance. The message is not an endorsement of  any candidate or affiliated with any political party.,58
Patients For Affordable Drugs Action and not authorized by any candidate or candidate’s committee.,58
In Search of Liberty,58
The Office of Mayor Ted Wheeler ,57
Old Gadfly,57
Future Generations Advocacy Project,57
C-Red PAC,56
the Committee to Save Idaho Horse Racing, Create Jobs, and Fund Public Schools,55
The Committee To Elect Larry Piegza,55
Paid for by Mantovani for STL, Tim Fogerty, Treasurer,55
John Carter for Congress,55
Distractify,55
the National Center for Public Policy Research,54
Liz for Indiana,54
Jeff Brandes, Republican, for State Senate,54
Geri Waksler for Charlotte County School Board, District 1.,54
FRIENDS OF GENTNER DRUMMOND 2018,54
Diehl for U.S. Senate,54
Dale DeVon for State Rep,54
Chris Marshall,54
Republican Liberty Caucus,53
Resistance School,52
Friends of Robert Bunda,52
UNITE HERE. Authorized by $15 for DIA.,51
Haden For State Representative, Mike Boulware Treasurer.,51
All electoral content on this account is prepared by the SEIU Minn State Council Political Fund, 2233 University Ave W, #422, St. Paul, MN 55114, as an independent expenditure, and is not approved by any candidate nor is any candidate responsible for its content.,51
the International Union, United Automobile, Aerospace, and Agricultural Implement Workers of America (UAW).  Not authorized by any candidate.,50
Sand Cloud,50
Reese for State House 2018,49
Onviant LLC,49
Coalition of Minnesota Businesses,49
#VOTEPROCHOICE,49
Elect Kathy Hoffman for Superintendent,48
Facing Addiction with NCADD,47
the American Civil Liberties Union Foundation of Arizona,46
Seaman for KY House,46
Nick Smith for Sheriff of Walker County • 758 Saragossa Rd • Nauvoo, AL 35578,45
Kentucky Family Values,45
Arkansans for Jobs and Justice ,45
Union Patriots,44
The Mark Kaye Show,44
Ryan Hampton,44
New Direction PAC,44
George Franklin for Congress,44
Donovan for State Senate,44
Committee to Elect Joan Carter Conway, Gerald Stinnette, Treasurer,44
Warnock 4 Oregon ,43
Prof.V.Randall,43
Mattei for CT, Michael Pare, Treasurer. Approved by Chris Mattei.,43
Askov Finlayson,43
Joda for TN-30,42
Horizon PAC,42
Kaul for Attorney General,41
Friends of Courtney Watson, Kevin Doyle, Treasurer,41
Eddie Zipperer,41
Right Call Media,40
Friends For Diane Franklin, Dr. Kenneth Colbert Treasurer.,40
Candidate Boston Hensley,40
Priorities USA Action and SMP. Not authorized by any candidate or candidate's committee.,39
Committee to Elect Lisa Stone Barnes,39
Regina Cobb 2018 ,38
One Nation Design,38
Friends of Bill Lowry,37
Coloradans for Fariness,37
Ruby Corby-O'Neill for Congress,35
Paul Davis for Kansas,35
Angie Craig for Congress,35
Gallco Media LLC,34
Friends of John Olszewski Jr.,34
Bruce Crochetiere for Congress,34
the Candidate: Chloe Maxmin,33
Tim Ryan for Congress,33
Pete King for Congress.,33
John Boccieri for Ohio Committee,33
Friends of Chris Murphy,33
Friends of Bob Weiner,33
the Competitive Enterprise Institute ,32
Washington Education Association Political Action Committee,32
TS,32
Sobampo for Justice of the Peace,32
Michelle Downey Caldier for State Representative,32
James "JP" Kemp for Nevada Assembly District 13,32
FUKUNAGA FOR COUNCIL ∙ P.O. BOX 61503, HONOLULU, HI 96839,32
People for Matt Jones,31
Healthy Nevada PAC,31
Paid for by Hubbell for Governor,30
Lesley for CU Regent,30
Friends of Tom Barrett, PO Box 121, Charlotte, MI 48813,30
Citizens to Elect Doug Schultze for Sheriff of Johnson County Wyoming,30
Steve Smith for Congress ,29
SOS International ,29
Official Funds from the Office of Congressman Tom Reed,29
North Carolina Republican Party,29
James for NY,29
Caroline Self for Senate, PO Box 714, Florence, AL 35631,29
Fight for $15,28
Mike Johnston for Governor,27
Mark Beltavski,27
Lisa Brown for Congress,27
Lupe Valdez for Governor,26
Friends of Michela Skelton,26
Conservation Ohio and not authorized by any candidate, candidate's committee, or political party,26
the Beverly Powell Campaign,25
and approved by Anderson Volunteer Committee.,25
Stephanie Murphy for Congress,25
NRSC and not authorized by any candidate or candidate’s committee,25
Friends of Jim Coley,25
Utahns for Igor,23
Portside,23
Joe Shirley, Jr., for President 2018,23
Friends of Dana Balter,23
Arizonans for Life.,23
Kevin Daley for State Senate,22
Friends Of Eric Burlison, Clint Caffey Treasurer.,22
Committee to Elect Allan Kittleman; Bradley Myers, Treasurer,22
South Sound Women's Leadership PAC, PO Box 5304, Tacoma, WA 98415. No candidate authorized this ad. Top 5 Contributors: Janet Theissen, Chelsea Talbert.,21
Rick Green for Congress,21
Alliance for a Better Minnesota Action Fund,21
Hometown Freedom Action Network,20
Friends of Jen Metzger,20
